name,SC_r,centroid,varR,kurtosis,anisotropy
x_phase_-4.6_deg.tiff,0.233522,178.080438,11716.929883,1.574315,4.094725e-05
x_phase_-4.7_deg.tiff,0.281539,163.993553,11767.908703,1.493301,2.332145e-05
x_phase_-4.8_deg.tiff,0.228829,178.733759,11540.938112,1.587437,3.681179e-05
x_phase_-4.9_deg.tiff,0.244007,173.721308,11637.884891,1.530014,3.689487e-05
x_phase_-5.0_deg.tiff,0.241646,172.777739,11596.157594,1.584443,2.891188e-05
x_phase_-5.1_deg.tiff,0.241478,175.364873,11752.221092,1.503321,4.268610e-05
x_phase_-5.2_deg.tiff,0.259192,168.982993,11791.834092,1.520952,2.306260e-05
x_phase_-5.3_deg.tiff,0.224943,179.780452,11770.438910,1.544889,4.190821e-05
x_phase_-5.4_deg.tiff,0.254301,168.705527,11575.749179,1.507323,2.439206e-05
x_phase_-5.5_deg.tiff,0.224479,179.572903,11845.734750,1.546455,3.640844e-05
x_phase_-5.6_deg.tiff,0.264287,167.500504,11841.906127,1.477337,2.665915e-05
x_phase_-5.7_deg.tiff,0.224027,179.532837,11848.708058,1.553220,3.139088e-05
x_phase_-5.8_deg.tiff,0.228737,176.855891,11738.873976,1.500850,4.344303e-05
x_phase_-5.9_deg.tiff,0.246378,170.490474,11791.773581,1.536361,2.580621e-05
x_phase_-6.0_deg.tiff,0.227720,179.157115,12055.045612,1.489120,3.879827e-05
x_phase_-6.1_deg.tiff,0.285086,160.810568,11789.597295,1.491046,2.151908e-05
x_phase_-6.2_deg.tiff,0.223161,180.508258,12133.574085,1.498082,3.504905e-05
x_phase_-6.3_deg.tiff,0.248858,170.389366,11797.054232,1.454658,3.021019e-05
x_phase_-6.4_deg.tiff,0.229638,177.046863,12031.164888,1.506683,3.284959e-05
x_phase_-6.5_deg.tiff,0.263913,168.214808,12147.469087,1.446194,2.956632e-05
x_phase_-6.6_deg.tiff,0.251461,171.441921,12241.807370,1.484799,2.409031e-05
x_phase_-6.7_deg.tiff,0.241394,174.610072,12152.074532,1.435890,3.936512e-05
x_phase_-6.8_deg.tiff,0.269154,165.292140,11958.505629,1.464047,2.511952e-05
x_phase_-6.9_deg.tiff,0.246106,175.363828,12503.479511,1.437365,3.515723e-05
x_phase_-7.0_deg.tiff,0.374348,139.478117,11222.030836,1.644135,2.571165e-05
x_phase_-7.1_deg.tiff,0.255333,172.907706,12539.331034,1.423593,3.075903e-05
x_phase_-7.2_deg.tiff,0.284788,162.348738,12115.274536,1.438765,2.746666e-05
x_phase_-7.3_deg.tiff,0.277380,165.271096,12284.831742,1.452845,2.655575e-05
x_phase_-7.4_deg.tiff,0.290271,164.047385,12486.003232,1.410185,2.885572e-05
x_phase_-7.5_deg.tiff,0.327921,153.330358,12277.725608,1.499056,2.130621e-05
x_phase_-7.6_deg.tiff,0.285795,165.564798,12609.384483,1.400295,3.240204e-05
x_phase_-7.7_deg.tiff,0.325937,150.531895,11661.271782,1.464491,2.420913e-05
x_phase_-7.8_deg.tiff,0.293693,164.024814,12701.383679,1.409636,3.123241e-05
x_phase_-7.9_deg.tiff,0.383065,138.279500,11508.555750,1.648008,2.287008e-05
x_phase_-8.0_deg.tiff,0.313005,159.430707,12701.139875,1.394794,2.693721e-05
x_phase_-8.1_deg.tiff,0.326341,153.958065,12326.082205,1.461228,2.551286e-05
x_phase_-8.2_deg.tiff,0.319923,155.187968,12275.697853,1.446852,2.581803e-05
x_phase_-8.3_deg.tiff,0.314635,158.775296,12570.333464,1.395519,2.757759e-05
x_phase_-8.4_deg.tiff,0.394757,135.959848,11528.329256,1.665489,2.601560e-05
x_phase_-8.5_deg.tiff,0.314379,159.485256,12752.014747,1.400593,3.015941e-05
x_phase_-8.6_deg.tiff,0.350275,146.907755,11984.633260,1.481463,2.748186e-05
x_phase_-8.7_deg.tiff,0.317492,156.929074,12462.743168,1.413606,2.995044e-05
x_phase_-8.8_deg.tiff,0.336996,151.721853,12318.923359,1.460244,2.419452e-05
x_phase_-8.9_deg.tiff,0.321799,155.511325,12392.005467,1.421361,2.790405e-05
x_phase_-9.0_deg.tiff,0.323329,155.274749,12382.733046,1.428442,2.783531e-05
x_phase_-9.1_deg.tiff,0.319498,156.453232,12450.067783,1.412918,3.505441e-05
x_phase_-9.2_deg.tiff,0.311917,158.179403,12471.332956,1.415579,2.593788e-05
x_phase_-9.3_deg.tiff,0.377958,140.497140,11724.327771,1.557718,2.851939e-05
x_phase_-9.4_deg.tiff,0.302982,160.707330,12486.101565,1.409529,2.991712e-05
x_phase_-9.5_deg.tiff,0.327785,153.443854,12222.063963,1.453057,2.886198e-05
x_phase_-9.6_deg.tiff,0.293632,163.757352,12594.424159,1.392018,3.610640e-05
x_phase_-9.7_deg.tiff,0.297181,162.040168,12390.676857,1.411150,3.019027e-05
x_phase_-9.8_deg.tiff,0.294641,162.691418,12486.141076,1.423703,3.774351e-05
x_phase_-9.9_deg.tiff,0.282791,164.513271,12226.908176,1.426679,2.829419e-05
